track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3T4UodGkfZObJ43RtA5KFU,0.599,0.78,11.0,-5.033,1.0,0.0527,0.156,0.0,0.189,0.529,122.077,audio_features,6hM3nQbefoSTwiemMIICTU,spotify:track:6hM3nQbefoSTwiemMIICTU,https://api.spotify.com/v1/tracks/6hM3nQbefoSTwiemMIICTU,https://api.spotify.com/v1/audio-analysis/6hM3nQbefoSTwiemMIICTU,208395.0,4.0
6hM3nQbefoSTwiemMIICTU,0.751,0.695,9.0,-7.189,0.0,0.0363,0.156,8.95e-05,0.148,0.399,111.984,audio_features,37h9bOXIQ3ebJdWxvBfY6s,spotify:track:37h9bOXIQ3ebJdWxvBfY6s,https://api.spotify.com/v1/tracks/37h9bOXIQ3ebJdWxvBfY6s,https://api.spotify.com/v1/audio-analysis/37h9bOXIQ3ebJdWxvBfY6s,167973.0,4.0
37h9bOXIQ3ebJdWxvBfY6s,0.73,0.658,8.0,-11.942,1.0,0.0463,0.234,0.00052,0.11,0.748,101.999,audio_features,104JzdPHJF24tmJruWVgZR,spotify:track:104JzdPHJF24tmJruWVgZR,https://api.spotify.com/v1/tracks/104JzdPHJF24tmJruWVgZR,https://api.spotify.com/v1/audio-analysis/104JzdPHJF24tmJruWVgZR,212867.0,4.0
104JzdPHJF24tmJruWVgZR,0.45,0.716,1.0,-3.598,1.0,0.0291,0.00119,0.0,0.131,0.306,81.987,audio_features,6ypAO1oxZUBVeHtdFOi3Cj,spotify:track:6ypAO1oxZUBVeHtdFOi3Cj,https://api.spotify.com/v1/tracks/6ypAO1oxZUBVeHtdFOi3Cj,https://api.spotify.com/v1/audio-analysis/6ypAO1oxZUBVeHtdFOi3Cj,232413.0,4.0
6ypAO1oxZUBVeHtdFOi3Cj,0.636,0.61,8.0,-9.665,1.0,0.119,0.25,0.000121,0.113,0.296,125.227,audio_features,2rk0lCpO1vkKAQ6BC8bjUX,spotify:track:2rk0lCpO1vkKAQ6BC8bjUX,https://api.spotify.com/v1/tracks/2rk0lCpO1vkKAQ6BC8bjUX,https://api.spotify.com/v1/audio-analysis/2rk0lCpO1vkKAQ6BC8bjUX,260160.0,3.0
2rk0lCpO1vkKAQ6BC8bjUX,0.706,0.675,1.0,-6.351,0.0,0.237,0.177,0.0,0.0852,0.516,159.961,audio_features,5OLcsBO28uWHMzS0EEeZNp,spotify:track:5OLcsBO28uWHMzS0EEeZNp,https://api.spotify.com/v1/tracks/5OLcsBO28uWHMzS0EEeZNp,https://api.spotify.com/v1/audio-analysis/5OLcsBO28uWHMzS0EEeZNp,188596.0,4.0
5OLcsBO28uWHMzS0EEeZNp,0.544,0.817,8.0,-3.349,1.0,0.0464,0.0353,0.0,0.0749,0.47,179.986,audio_features,6UnOxNp0jZfFXyKcAtJwUj,spotify:track:6UnOxNp0jZfFXyKcAtJwUj,https://api.spotify.com/v1/tracks/6UnOxNp0jZfFXyKcAtJwUj,https://api.spotify.com/v1/audio-analysis/6UnOxNp0jZfFXyKcAtJwUj,136000.0,4.0
6UnOxNp0jZfFXyKcAtJwUj,0.671,0.428,0.0,-10.548,1.0,0.122,0.632,0.0927,0.0977,0.283,159.993,audio_features,5hwQBJojbljFjxg7t49r03,spotify:track:5hwQBJojbljFjxg7t49r03,https://api.spotify.com/v1/tracks/5hwQBJojbljFjxg7t49r03,https://api.spotify.com/v1/audio-analysis/5hwQBJojbljFjxg7t49r03,182923.0,4.0
5hwQBJojbljFjxg7t49r03,0.631,0.825,11.0,-3.971,1.0,0.0433,0.0167,0.0,0.122,0.427,129.942,audio_features,2JiHR4gCDjXwYVRDmwdk95,spotify:track:2JiHR4gCDjXwYVRDmwdk95,https://api.spotify.com/v1/tracks/2JiHR4gCDjXwYVRDmwdk95,https://api.spotify.com/v1/audio-analysis/2JiHR4gCDjXwYVRDmwdk95,195760.0,3.0
2JiHR4gCDjXwYVRDmwdk95,0.631,0.796,1.0,-5.35,1.0,0.0401,0.000245,0.0115,0.38,0.596,92.469,audio_features,6EbduYTr62sSzvl36wWiFM,spotify:track:6EbduYTr62sSzvl36wWiFM,https://api.spotify.com/v1/tracks/6EbduYTr62sSzvl36wWiFM,https://api.spotify.com/v1/audio-analysis/6EbduYTr62sSzvl36wWiFM,209120.0,4.0
